"楼栋","房号","幢号","套内面积","建筑面积","得房率","楼层","用途","总价","户型","销售状态","均价套内","均价建筑","无房户","isRoomless"
"春月金沙府9幢36号801","801","9幢","89.65","116.57","76%","8层","住宅","4573974","3室2厅1厨2卫","未网签","51020","39238","否",false
"春月金沙府9幢36号802","802","9幢","106.95","139.07","76%","8层","住宅","5480554","4室2厅1厨2卫","未网签","51244","39409","否",false
"春月金沙府9幢36号901","901","9幢","89.65","116.57","76%","9层","住宅","4593861","3室2厅1厨2卫","未网签","51242","39409","是",true
"春月金沙府9幢36号902","902","9幢","106.95","139.07","76%","9层","住宅","5504279","4室2厅1厨2卫","未网签","51466","39579","是",true
"春月金沙府9幢37号1003","1003","9幢","106.95","139.18","76%","10层","住宅","5532377","4室2厅1厨2卫","未网签","51729","39750","是",true
"春月金沙府9幢37号1004","1004","9幢","89.65","116.67","76%","10层","住宅","4585859","3室2厅1厨2卫","未网签","51153","39306","是",true
"春月金沙府9幢37号1103","1103","9幢","106.95","139.18","76%","11层","住宅","5556121","4室2厅1厨2卫","未网签","51951","39920","是",true
"春月金沙府9幢37号1104","1104","9幢","89.65","116.67","76%","11层","住宅","4605763","3室2厅1厨2卫","未网签","51375","39477","是",true
"春月金沙府9幢37号1203","1203","9幢","106.95","139.18","76%","12层","住宅","5579865","4室2厅1厨2卫","未网签","52173","40091","是",true
"春月金沙府9幢37号1204","1204","9幢","89.65","116.67","76%","12层","住宅","4625667","3室2厅1厨2卫","未网签","51597","39647","否",false
"春月金沙府9幢37号1303","1303","9幢","106.95","139.18","76%","13层","住宅","5603609","4室2厅1厨2卫","未网签","52395","40262","是",true
"春月金沙府9幢37号1304","1304","9幢","89.65","116.67","76%","13层","住宅","4645571","3室2厅1厨2卫","未网签","51819","39818","是",true
"春月金沙府9幢37号1403","1403","9幢","106.95","139.18","76%","14层","住宅","5603609","4室2厅1厨2卫","未网签","52395","40262","是",true
"春月金沙府9幢37号1404","1404","9幢","89.65","116.67","76%","14层","住宅","4645571","3室2厅1厨2卫","未网签","51819","39818","是",true
"春月金沙府9幢37号1503","1503","9幢","106.95","139.18","76%","15层","住宅","5437401","4室2厅1厨2卫","未网签","50841","39067","是",true
"春月金沙府9幢37号1504","1504","9幢","89.65","116.67","76%","15层","住宅","4506243","3室2厅1厨2卫","未网签","50265","38624","否",false
"春月金沙府9幢37号203","203","9幢","106.95","139.18","76%","2层","住宅","4971066","4室2厅1厨2卫","未网签","46480","35717","是",true
"春月金沙府9幢37号204","204","9幢","89.65","116.67","76%","2层","住宅","4115331","3室2厅1厨2卫","未网签","45904","35273","否",false
"春月金沙府9幢37号303","303","9幢","106.95","139.18","76%","3层","住宅","5249822","4室2厅1厨2卫","未网签","49087","37720","是",true
"春月金沙府9幢37号304","304","9幢","89.65","116.67","76%","3层","住宅","4349003","3室2厅1厨2卫","未网签","48511","37276","是",true
"春月金沙府9幢37号403","403","9幢","106.95","139.18","76%","4层","住宅","5389913","4室2厅1厨2卫","未网签","50397","38726","否",false
"春月金沙府9幢37号404","404","9幢","89.65","116.67","76%","4层","住宅","4466436","3室2厅1厨2卫","未网签","49821","38283","是",true
"春月金沙府9幢37号503","503","9幢","106.95","139.18","76%","5层","住宅","5413657","4室2厅1厨2卫","未网签","50619","38897","否",false
"春月金沙府9幢37号504","504","9幢","89.65","116.67","76%","5层","住宅","4486340","3室2厅1厨2卫","未网签","50043","38453","是",true
"春月金沙府9幢37号603","603","9幢","106.95","139.18","76%","6层","住宅","5437401","4室2厅1厨2卫","未网签","50841","39067","否",false
"春月金沙府9幢37号604","604","9幢","89.65","116.67","76%","6层","住宅","4506243","3室2厅1厨2卫","未网签","50265","38624","是",true
"春月金沙府9幢37号703","703","9幢","106.95","139.18","76%","7层","住宅","5461145","4室2厅1厨2卫","未网签","51063","39238","是",true
"春月金沙府9幢37号704","704","9幢","89.65","116.67","76%","7层","住宅","4526147","3室2厅1厨2卫","未网签","50487","38794","是",true
"春月金沙府9幢37号803","803","9幢","106.95","139.18","76%","8层","住宅","5484889","4室2厅1厨2卫","未网签","51285","39409","是",true
"春月金沙府9幢37号804","804","9幢","89.65","116.67","76%","8层","住宅","4546051","3室2厅1厨2卫","未网签","50709","38965","否",false
"春月金沙府9幢37号903","903","9幢","106.95","139.18","76%","9层","住宅","5508633","4室2厅1厨2卫","未网签","51507","39579","否",false
"春月金沙府9幢37号904","904","9幢","89.65","116.67","76%","9层","住宅","4565955","3室2厅1厨2卫","未网签","50931","39136","否",false
