"楼栋","房号","幢号","套内面积","建筑面积","得房率","楼层","用途","总价","户型","销售状态","均价套内","均价建筑","无房户","isRoomless"
"春月金沙府3幢15号1503","1503","3幢","84.40","111.36","75%","15层","住宅","4184243","3室2厅1厨2卫","未网签","49576","37574","是",true
"春月金沙府3幢15号1504","1504","3幢","92.82","122.47","75%","15层","住宅","4284111","3室2厅1厨2卫","未网签","46155","34981","是",true
"春月金沙府3幢15号1601","1601","3幢","92.82","122.47","75%","16层","住宅","4388578","3室2厅1厨2卫","未网签","47281","35834","否",false
"春月金沙府3幢15号1602","1602","3幢","84.40","111.36","75%","16层","住宅","4191842","3室2厅1厨2卫","未网签","49666","37642","是",true
"春月金沙府3幢15号1603","1603","3幢","84.40","111.36","75%","16层","住宅","4191842","3室2厅1厨2卫","未网签","49666","37642","否",false
"春月金沙府3幢15号1604","1604","3幢","92.82","122.47","75%","16层","住宅","4292469","3室2厅1厨2卫","未网签","46245","35049","是",true
"春月金沙府3幢15号1701","1701","3幢","92.82","122.47","75%","17层","住宅","4396936","3室2厅1厨2卫","未网签","47371","35902","否",false
"春月金沙府3幢15号1702","1702","3幢","84.40","111.36","75%","17层","住宅","4199442","3室2厅1厨2卫","未网签","49756","37711","否",false
"春月金沙府3幢15号1703","1703","3幢","84.40","111.36","75%","17层","住宅","4199442","3室2厅1厨2卫","未网签","49756","37711","否",false
"春月金沙府3幢15号1704","1704","3幢","92.82","122.47","75%","17层","住宅","4300826","3室2厅1厨2卫","未网签","46335","35117","否",false
"春月金沙府3幢15号1801","1801","3幢","92.82","122.47","75%","18层","住宅","4225610","3室2厅1厨2卫","未网签","45525","34503","是",true
"春月金沙府3幢15号1802","1802","3幢","84.40","111.36","75%","18层","住宅","4043658","3室2厅1厨2卫","未网签","47911","36312","否",false
"春月金沙府3幢15号1803","1803","3幢","84.40","111.36","75%","18层","住宅","4043658","3室2厅1厨2卫","未网签","47911","36312","否",false
"春月金沙府3幢15号1804","1804","3幢","92.82","122.47","75%","18层","住宅","4129500","3室2厅1厨2卫","未网签","44489","33718","是",true
"春月金沙府3幢15号201","201","3幢","92.82","122.47","75%","2层","住宅","3815264","3室2厅1厨2卫","未网签","41104","31153","是",true
"春月金沙府3幢15号202","202","3幢","84.40","111.36","75%","2层","住宅","3670537","3室2厅1厨2卫","未网签","43490","32961","否",false
"春月金沙府3幢15号203","203","3幢","84.40","111.36","75%","2层","住宅","3670537","3室2厅1厨2卫","未网签","43490","32961","否",false
"春月金沙府3幢15号204","204","3幢","92.82","122.47","75%","2层","住宅","3928088","3室2厅1厨2卫","未网签","42319","32074","否",false
"春月金沙府3幢15号301","301","3幢","92.82","122.47","75%","3层","住宅","4060552","3室2厅1厨2卫","未网签","43747","33155","否",false
"春月金沙府3幢15号302","302","3幢","84.40","111.36","75%","3层","住宅","3893574","3室2厅1厨2卫","未网签","46132","34964","是",true
"春月金沙府3幢15号303","303","3幢","84.40","111.36","75%","3层","住宅","3893574","3室2厅1厨2卫","未网签","46132","34964","是",true
"春月金沙府3幢15号304","304","3幢","92.82","122.47","75%","3层","住宅","4173376","3室2厅1厨2卫","未网签","44962","34077","否",false
"春月金沙府3幢15号401","401","3幢","92.82","122.47","75%","4层","住宅","4183823","3室2厅1厨2卫","未网签","45075","34162","是",true
"春月金沙府3幢15号402","402","3幢","84.40","111.36","75%","4层","住宅","4005662","3室2厅1厨2卫","未网签","47460","35970","否",false
"春月金沙府3幢15号403","403","3幢","84.40","111.36","75%","4层","住宅","4005662","3室2厅1厨2卫","未网签","47460","35970","否",false
"春月金沙府3幢15号404","404","3幢","92.82","122.47","75%","4层","住宅","4087713","3室2厅1厨2卫","未网签","44039","33377","否",false
"春月金沙府3幢15号501","501","3幢","92.82","122.47","75%","5层","住宅","4204716","3室2厅1厨2卫","未网签","45300","34333","是",true
"春月金沙府3幢15号502","502","3幢","84.40","111.36","75%","5层","住宅","4024660","3室2厅1厨2卫","未网签","47686","36141","是",true
"春月金沙府3幢15号503","503","3幢","84.40","111.36","75%","5层","住宅","4024660","3室2厅1厨2卫","未网签","47686","36141","是",true
