楼栋,房号,套内面积,建筑面积,所在层,规划用途,备案总价(元),户型,销售状态
春月金沙府1幢11号1002,1002,87.53 ㎡,109.13 ㎡,10,住宅,4114485,3室2厅1厨2卫,未网签
春月金沙府1幢11号1102,1102,87.53 ㎡,109.13 ㎡,11,住宅,4133102,3室2厅1厨2卫,未网签
春月金沙府1幢11号1202,1202,87.53 ㎡,109.13 ㎡,12,住宅,4021397,3室2厅1厨2卫,未网签
春月金沙府1幢11号202,202,87.53 ㎡,109.13 ㎡,2,住宅,3674365,3室2厅1厨2卫,未网签
春月金沙府1幢11号302,302,87.53 ㎡,109.13 ㎡,3,住宅,3892936,3室2厅1厨2卫,未网签
春月金沙府1幢11号402,402,87.53 ㎡,109.13 ㎡,4,住宅,4002779,3室2厅1厨2卫,未网签
春月金沙府1幢11号502,502,87.53 ㎡,109.13 ㎡,5,住宅,4021397,3室2厅1厨2卫,未网签
春月金沙府1幢11号602,602,87.53 ㎡,109.13 ㎡,6,住宅,4040014,3室2厅1厨2卫,未网签
春月金沙府1幢11号702,702,87.53 ㎡,109.13 ㎡,7,住宅,4058632,3室2厅1厨2卫,未网签
春月金沙府1幢11号802,802,87.53 ㎡,109.13 ㎡,8,住宅,4077250,3室2厅1厨2卫,未网签
春月金沙府1幢11号902,902,87.53 ㎡,109.13 ㎡,9,住宅,4095867,3室2厅1厨2卫,未网签
春月金沙府2幢12号1002,1002,87.53 ㎡,109.22 ㎡,10,住宅,4129058,3室2厅1厨2卫,未网签
春月金沙府2幢12号1102,1102,87.53 ㎡,109.22 ㎡,11,住宅,4147691,3室2厅1厨2卫,未网签
春月金沙府2幢12号1202,1202,87.53 ㎡,109.22 ㎡,12,住宅,4035893,3室2厅1厨2卫,未网签
春月金沙府2幢12号202,202,87.53 ㎡,109.22 ㎡,2,住宅,3688575,3室2厅1厨2卫,未网签
春月金沙府2幢12号302,302,87.53 ㎡,109.22 ㎡,3,住宅,3907326,3室2厅1厨2卫,未网签
春月金沙府2幢12号402,402,87.53 ㎡,109.22 ㎡,4,住宅,4017260,3室2厅1厨2卫,未网签
春月金沙府2幢12号502,502,87.53 ㎡,109.22 ㎡,5,住宅,4035893,3室2厅1厨2卫,未网签
春月金沙府2幢12号602,602,87.53 ㎡,109.22 ㎡,6,住宅,4054526,3室2厅1厨2卫,未网签
春月金沙府2幢12号702,702,87.53 ㎡,109.22 ㎡,7,住宅,4073159,3室2厅1厨2卫,未网签
